No,Tren_Harga,Broker_Summary,Volume_Transaksi,Status_Orderbook,Keputusan
1,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
2,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
3,Sideways,Netral,Tinggi,Kuat Offer,Wait
4,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
5,Uptrend,Netral,Tinggi,Kuat Bid,Buy
6,Sideways,Netral,Rendah,Kuat Bid,Wait
7,Downtrend,Netral,Rendah,Kuat Bid,Wait
8,Uptrend,Netral,Rendah,Kuat Offer,Wait
9,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
10,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
11,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
12,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
13,Uptrend,Netral,Rendah,Kuat Offer,Wait
14,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
15,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
16,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
17,Downtrend,Netral,Rendah,Kuat Bid,Wait
18,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
19,Sideways,Netral,Tinggi,Kuat Bid,Buy
20,Sideways,Netral,Tinggi,Kuat Bid,Buy
21,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
22,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
23,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
24,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
25,Sideways,Distribusi,Rendah,Kuat Offer,Wait
26,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
27,Sideways,Netral,Rendah,Kuat Offer,Wait
28,Sideways,Distribusi,Rendah,Kuat Bid,Wait
29,Uptrend,Netral,Rendah,Kuat Bid,Buy
30,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
31,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
32,Downtrend,Netral,Rendah,Kuat Offer,Wait
33,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
34,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
35,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
36,Sideways,Netral,Rendah,Kuat Bid,Wait
37,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
38,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
39,Sideways,Distribusi,Rendah,Kuat Bid,Wait
40,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
41,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
42,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
43,Uptrend,Netral,Rendah,Kuat Bid,Buy
44,Downtrend,Netral,Rendah,Kuat Bid,Wait
45,Sideways,Netral,Tinggi,Kuat Offer,Wait
46,Downtrend,Netral,Rendah,Kuat Offer,Wait
47,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
48,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
49,Sideways,Netral,Tinggi,Kuat Bid,Buy
50,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
51,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
52,Sideways,Distribusi,Rendah,Kuat Offer,Wait
53,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
54,Sideways,Distribusi,Rendah,Kuat Bid,Wait
55,Sideways,Netral,Tinggi,Kuat Offer,Wait
56,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
57,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
58,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
59,Downtrend,Netral,Rendah,Kuat Offer,Wait
60,Uptrend,Netral,Tinggi,Kuat Bid,Buy
61,Uptrend,Netral,Rendah,Kuat Bid,Buy
62,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
63,Uptrend,Netral,Tinggi,Kuat Offer,Buy
64,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
65,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
66,Sideways,Netral,Rendah,Kuat Offer,Wait
67,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
68,Downtrend,Netral,Rendah,Kuat Offer,Wait
69,Uptrend,Netral,Rendah,Kuat Offer,Wait
70,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
71,Sideways,Netral,Rendah,Kuat Bid,Wait
72,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
73,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
74,Sideways,Netral,Rendah,Kuat Offer,Wait
75,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
76,Uptrend,Netral,Tinggi,Kuat Bid,Buy
77,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
78,Sideways,Netral,Tinggi,Kuat Offer,Wait
79,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
80,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
81,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
82,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
83,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
84,Sideways,Distribusi,Rendah,Kuat Offer,Wait
85,Downtrend,Netral,Rendah,Kuat Bid,Wait
86,Sideways,Netral,Rendah,Kuat Offer,Wait
87,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
88,Sideways,Distribusi,Rendah,Kuat Offer,Wait
89,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
90,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
91,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
92,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
93,Uptrend,Netral,Tinggi,Kuat Bid,Buy
94,Downtrend,Netral,Tinggi,Kuat Bid,Buy
95,Sideways,Distribusi,Rendah,Kuat Offer,Wait
96,Uptrend,Netral,Tinggi,Kuat Bid,Buy
97,Uptrend,Netral,Rendah,Kuat Bid,Buy
98,Uptrend,Netral,Tinggi,Kuat Bid,Buy
99,Sideways,Distribusi,Rendah,Kuat Bid,Wait
100,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
101,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
102,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
103,Sideways,Netral,Tinggi,Kuat Offer,Wait
104,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
105,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
106,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
107,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
108,Uptrend,Netral,Tinggi,Kuat Offer,Buy
109,Sideways,Netral,Tinggi,Kuat Bid,Buy
110,Uptrend,Netral,Tinggi,Kuat Bid,Buy
111,Downtrend,Netral,Rendah,Kuat Bid,Wait
112,Sideways,Distribusi,Rendah,Kuat Bid,Wait
113,Sideways,Distribusi,Rendah,Kuat Bid,Wait
114,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
115,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
116,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
117,Downtrend,Netral,Rendah,Kuat Bid,Wait
118,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
119,Sideways,Netral,Tinggi,Kuat Bid,Buy
120,Uptrend,Netral,Tinggi,Kuat Offer,Buy
121,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
122,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
123,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
124,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
125,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
126,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
127,Downtrend,Netral,Tinggi,Kuat Offer,Wait
128,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
129,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
130,Sideways,Netral,Tinggi,Kuat Offer,Wait
131,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
132,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
133,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
134,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
135,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
136,Uptrend,Netral,Rendah,Kuat Bid,Buy
137,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
138,Uptrend,Netral,Rendah,Kuat Bid,Buy
139,Uptrend,Netral,Rendah,Kuat Offer,Wait
140,Uptrend,Netral,Tinggi,Kuat Offer,Buy
